date,delinquencyRate
2025-12-31,9.57
2025-09-30,9.36
2025-06-30,10.16
2025-03-31,7.74
2024-12-31,0.53
2024-09-30,0.49
2024-06-30,0.65
2024-03-31,0.62
2023-12-31,0.60
2023-09-30,0.67
2023-06-30,0.63
2023-03-31,0.67
2022-12-31,0.87
2022-09-30,3.92
2022-06-30,4.55
2022-03-31,4.70
2021-12-31,4.99
2021-09-30,5.33
2021-06-30,5.69
2021-03-31,6.16
2020-12-31,6.45
2020-09-30,6.50
2020-06-30,6.97
2020-03-31,10.75
2019-12-31,11.06
2019-09-30,10.90
2019-06-30,10.83
2019-03-31,10.85
2018-12-31,11.42
2018-09-30,11.53
2018-06-30,10.94
2018-03-31,10.66
2017-12-31,10.96
2017-09-30,11.17
2017-06-30,11.22
2017-03-31,10.98
2016-12-31,11.17
2016-09-30,10.94
2016-06-30,11.06
2016-03-31,11.04
2015-12-31,11.52
2015-09-30,11.56
2015-06-30,11.45
2015-03-31,11.06
2014-12-31,11.32
2014-09-30,11.09
2014-06-30,10.92
2014-03-31,11.01
2013-12-31,11.51
2013-09-30,11.83